1001,15,0
1002,10,2
1003,20,2
1004,10,9
1006,15,9
1007,16,10
1008,10,11
1009,20,0
101,5,0
1010,20,1
1011,20,3
1012,15,1
1013,15,6
1014,15,9
1015,13,11
1016,10,7
1017,20,12
1018,20,3
1019,10,14
102,20,7
1020,15,7
1021,15,0
1022,20,5
1023,15,3
1024,10,2
1025,10,3
1026,14,2
1027,20,18
1028,10,1
1029,10,5
103,14,11
1030,15,9
1031,15,8
1032,20,12
1033,10,2
1034,15,10
1035,20,4
1036,10,0
1037,10,10
1038,10,7
1039,7,3
104,13,5
1040,15,2
1041,10,5
1042,10,7
1044,15,18
1047,10,0
1048,10,5
1049,10,3
105,5,3
1050,15,5
1051,15,5
106,10,6
107,5,4
108,10,2
109,10,7
110,20,13
1101,10,1
1102,10,1
1103,10,7
1105,10,3
1106,10,8
1108,8,1
1109,6,0
111,10,2
1110,10,4
1111,15,1
1112,15,10
1113,15,2
1114,15,9
1115,10,6
1117,10,9
1118,10,10
1119,6,1
112,10,9
1120,10,4
1121,15,11
1122,10,6
1123,15,2
1124,10,1
1125,10,4
1126,7,6
1127,10,10
1128,10,4
1129,10,5
113,25,20
1130,7,4
1131,8,3
1132,10,16
1135,10,5
1136,10,4
1137,10,2
1139,8,2
114,15,7
1140,15,4
1141,10,5
1145,10,6
1146,10,7
1148,10,1
1149,13,6
115,15,4
1150,10,0
1151,25,8
1152,10,13
1153,10,2
1155,10,4
1157,8,10
1158,20,13
1159,20,11
116,5,1
1160,20,9
1161,10,3
1162,10,0
1163,10,0
1165,20,16
1166,10,8
1167,15,3
1168,10,1
117,25,6
118,10,5
119,10,0
120,5,3
1201,10,1
1203,20,16
1204,10,12
1205,15,0
1206,20,2
1207,10,9
1208,20,3
1209,20,9
121,15,4
1210,30,3
1211,7,2
1212,10,4
1213,20,11
1214,10,5
1215,15,7
1217,15,9
1218,12,14
122,10,5
1220,15,5
1221,10,6
1222,15,1
1224,15,4
1226,10,10
1227,10,12
1228,10,10
1229,15,5
123,20,12
1230,10,3
1231,10,1
1232,10,1
1233,9,0
1235,15,4
1239,20,3
124,20,6
1240,10,10
1241,15,4
1242,15,6
1243,20,14
1244,7,5
1245,10,0
1246,30,5
1247,15,3
1248,20,7
1249,10,11
125,15,14
1250,10,4
1251,10,5
1253,10,4
1256,8,5
1257,20,12
1258,10,4
1259,15,4
126,20,9
1260,8,13
1262,10,0
1263,10,10
1264,8,0
1265,10,8
1266,10,2
1267,15,10
1268,15,7
1269,10,3
127,15,3
1271,15,4
1274,20,12
1275,15,17
1277,8,6
1278,10,2
1279,10,4
128,20,16
1280,20,8
1282,10,11
1283,8,5
1285,15,13
1286,10,10
1287,8,6
1288,15,9
1289,10,2
129,15,18
130,10,3
1302,5,1
1303,10,6
1304,15,8
1305,15,8
1306,10,1
1308,18,20
131,23,10
1313,10,5
1314,8,8
1315,10,0
1316,20,9
1317,10,4
1318,10,10
1319,10,6
132,15,9
1320,10,7
1321,15,6
1322,10,8
1323,10,7
1325,10,11
1326,10,6
1327,10,7
1328,10,8
133,15,11
1332,10,3
1333,15,4
1334,10,6
1336,20,10
1337,10,1
1338,15,7
1339,9,4
134,8,4
1340,8,4
1342,15,5
1343,10,5
1344,10,9
1346,15,10
1347,20,11
1348,12,6
1349,10,5
135,10,6
1351,8,3
1352,8,4
1353,8,7
1354,10,6
1355,20,16
1357,20,9
1358,7,10
1359,20,7
136,7,0
1360,10,4
1361,13,8
137,10,2
138,10,3
139,13,6
140,20,13
1401,15,9
1402,10,7
1403,15,8
