1001,15,10
1002,10,2
1003,20,12
1004,10,1
1006,15,5
1007,16,8
1008,10,0
1009,20,11
101,5,1
1010,20,6
1011,20,8
1012,15,12
1013,15,6
1014,15,3
1015,13,0
1016,10,7
1017,20,10
1018,20,2
1019,10,10
102,20,2
1020,15,11
1021,15,11
1022,20,0
1023,15,19
1024,10,11
1025,10,6
1026,14,5
1027,20,7
1028,10,0
1029,10,3
103,14,2
1030,15,4
1031,15,15
1032,20,15
1033,10,10
1034,15,6
1035,20,9
1036,10,5
1037,10,10
1038,10,6
1039,7,4
104,13,8
1040,15,6
1041,10,8
1042,10,7
1044,15,1
1047,10,4
1048,10,4
1049,10,8
105,5,2
1050,15,7
1051,15,2
106,10,8
107,5,6
108,10,5
109,10,6
110,20,0
1101,10,9
1102,10,8
1103,10,7
1105,10,0
1106,10,10
1108,8,5
1109,6,4
111,10,7
1110,10,8
1111,15,10
1112,15,7
1113,15,1
1114,15,7
1115,10,8
1117,10,9
1118,10,19
1119,6,8
112,10,12
1120,10,0
1121,15,13
1122,10,5
1123,15,7
1124,10,2
1125,10,10
1126,7,3
1127,10,6
1128,10,5
1129,10,9
113,25,31
1130,7,3
1131,8,1
1132,10,12
1135,10,6
1136,10,5
1137,10,8
1139,8,4
114,15,8
1140,15,6
1141,10,5
1145,10,5
1146,10,6
1148,10,2
1149,13,15
115,15,9
1150,10,8
1151,25,12
1152,10,12
1153,10,7
1155,10,0
1157,8,5
1158,20,15
1159,20,7
116,5,2
1160,20,16
1161,10,4
1162,10,0
1163,10,0
1165,20,9
1166,10,9
1167,15,4
1168,10,8
117,25,21
118,10,4
119,10,4
120,5,3
1201,10,12
1203,20,31
1204,10,5
1205,15,1
1206,20,16
1207,10,9
1208,20,1
1209,20,14
121,15,7
1210,30,30
1211,7,11
1212,10,14
1213,20,8
1214,10,0
1215,15,0
1217,15,1
1218,12,3
122,10,7
1220,15,0
1221,10,2
1224,15,13
1226,10,11
1227,10,11
1228,10,8
1229,15,8
123,20,12
1230,10,3
1231,10,3
1232,10,6
1233,9,1
1235,15,4
1239,20,0
124,20,12
1240,10,1
1241,15,0
1242,15,1
